seed,naive_winner,decision,final_winner,final_loser,final_gain_pct,final_lcb_pct
7,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,3.7311870373501628,2.7936870373501628
8,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,1.946851916915919,1.5301852502492523
9,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,9.519735639659018,9.519735639659018
10,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,1.5140038285649506,1.2015038285649506
11,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,2.8327935537730853,2.8327935537730853
12,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,2.0486660381482125,0.7986660381482125
13,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,11.836611072808212,10.274111072808212
14,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,20.397159735593,19.147159735593
15,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,12.057488034737204,12.057488034737204
16,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,11.02459911898131,10.52459911898131
17,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,8.855876047579253,8.543376047579253
18,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,3.515527008065485,2.515527008065485
19,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,3.905040071689426,3.405040071689426
20,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,3.18072614357933,3.18072614357933
21,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,17.792879212257827,17.37621254559116
22,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,11.220789912282877,10.80412324561621
23,candidate_fast_but_noisy,promote:candidate_baseline,candidate_baseline,candidate_slightly_slow,27.422731175314,27.110231175314
24,candidate_fast_but_noisy,defer:candidate_baseline:candidate_consistent,candidate_baseline,candidate_consistent,0.27662362237872945,0.27662362237872945
25,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,11.524384370240895,11.524384370240895
26,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,11.685316777406713,10.85198344407338
27,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,14.348727840693195,13.93206117402653
28,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,12.920855715395675,12.608355715395675
29,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,1.8446171219255434,1.5321171219255434
30,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,2.1430357415296526,1.726369074862986
31,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,2.7461685140256327,2.7461685140256327
32,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,13.934365914552888,13.621865914552888
33,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,21.734844011643712,21.734844011643712
34,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,1.8187987646018107,1.8187987646018107
35,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,17.986322307657368,17.673822307657368
36,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_slightly_slow,30.23283941850274,29.60783941850274
37,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,2.5057412772701384,1.8807412772701384
38,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,2.5065757482910946,1.2565757482910946
39,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,16.324191871735938,16.011691871735938
40,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,4.830510003402258,4.830510003402258
41,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,14.702504143060754,14.285837476394088
42,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,2.772823878794398,2.460323878794398
43,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,3.8797247644233606,3.8797247644233606
44,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,15.972298604980494,15.347298604980494
